 SITE CODE= 532小千谷市城内              
 LAT.=   37.3130
 LON.=  138.7916
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2004 10 23 17 55 50
 NS,EW,UD
-0.021,0.015,0.017
-0.035,-0.020,0.005
-0.024,-0.027,-0.016
-0.013,0.009,-0.011
0.000,0.011,-0.002
0.024,0.003,0.007
0.029,0.010,0.012
0.019,-0.012,-0.006
0.009,-0.014,-0.008
-0.010,0.005,0.004
-0.032,-0.009,0.005
-0.027,0.004,-0.010
-0.009,0.000,-0.018
0.019,-0.019,0.005
0.034,0.014,0.024
0.011,-0.002,0.008
0.016,-0.010,-0.009
0.008,0.026,-0.001
-0.030,0.000,-0.001
-0.019,-0.006,0.000
-0.011,0.011,0.007
-0.017,-0.012,0.009
