SITE CODE= EEB熊本西区春日              ,32.7755,130.8495,  8,5.8,42474.9219329,  3.09,  5.24
 LAT.=   32.7866
 LON.=  130.6876
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 14 22 06 10
 NS,EW,UD
0.025,-0.148,0.032
-0.018,-0.053,0.075
-0.055,0.033,0.091
-0.043,0.038,0.080
-0.009,-0.021,0.051
0.004,-0.069,0.016
-0.021,-0.047,-0.010
-0.063,0.041,-0.012
-0.099,0.139,0.015
-0.126,0.170,0.056
-0.149,0.090,0.071
-0.175,-0.062,0.029
-0.196,-0.172,-0.060
-0.210,-0.124,-0.146
-0.219,0.068,-0.168
-0.215,0.256,-0.104
-0.178,0.282,0.007
-0.093,0.125,0.095
0.020,-0.077,0.115
0.101,-0.172,0.078
0.094,-0.120,0.031
0.006,-0.002,0.013
-0.096,0.074,0.021
-0.150,0.066,0.036
-0.142,0.009,0.040
-0.099,-0.036,0.036
-0.047,-0.029,0.029
-0.002,0.014,0.024
0.010,0.033,0.023
-0.035,-0.018,0.037
-0.112,-0.105,0.066
-0.150,-0.133,0.090
-0.097,-0.043,0.078
-0.011,0.109,0.022
-0.009,0.194,-0.043
-0.136,0.143,-0.070
-0.289,0.015,-0.041
-0.318,-0.065,0.009
-0.194,-0.038,0.021
-0.039,0.049,-0.014
0.011,0.106,-0.067
-0.049,0.085,-0.081
-0.114,0.008,-0.042
-0.109,-0.066,0.018
-0.066,-0.083,0.061
-0.047,-0.029,0.073
-0.058,0.050,0.075
-0.045,0.083,0.078
0.010,0.033,0.071
0.053,-0.047,0.037
0.013,-0.062,-0.014
-0.102,0.023,-0.045
-0.218,0.138,-0.022
-0.257,0.171,0.040
-0.209,0.091,0.093
-0.129,-0.025,0.094
-0.079,-0.084,0.048
-0.082,-0.059,-0.008
-0.112,-0.002,-0.052
-0.122,0.026,-0.076
-0.081,0.007,-0.077
-0.001,-0.044,-0.042
0.066,-0.089,0.030
0.077,-0.090,0.107
0.027,-0.018,0.130
-0.058,0.101,0.082
-0.149,0.190,0.004
-0.227,0.174,-0.037
-0.265,0.057,-0.025
-0.240,-0.073,-0.002
-0.153,-0.123,-0.013
-0.050,-0.076,-0.046
0.021,0.012,-0.041
0.041,0.071,0.022
0.029,0.071,0.096
0.004,0.022,0.110
-0.035,-0.039,0.048
-0.088,-0.068,-0.029
-0.129,-0.025,-0.056
-0.123,0.074,-0.023
-0.086,0.154,0.025
-0.075,0.127,0.047
-0.122,-0.008,0.040
-0.177,-0.147,0.027
-0.157,-0.164,0.020
-0.057,-0.043,0.010
0.039,0.099,-0.004
0.039,0.127,-0.006
-0.052,0.028,0.014
-0.148,-0.077,0.041
-0.190,-0.069,0.044
-0.197,0.044,0.017
-0.212,0.146,-0.012
-0.219,0.144,-0.013
-0.171,0.064,0.012
-0.067,0.014,0.032
0.023,0.051,0.027
0.030,0.114,0.007
-0.029,0.099,-0.001
-0.069,-0.026,0.008
-0.044,-0.175,0.016
0.002,-0.223,0.009
0.001,-0.125,-0.005
-0.060,0.035,-0.004
-0.126,0.128,0.020
-0.146,0.088,0.045
-0.118,-0.024,0.049
-0.086,-0.087,0.030
-0.087,-0.032,0.011
-0.131,0.085,0.004
-0.202,0.143,0.004
-0.254,0.079,-0.009
-0.235,-0.044,-0.035
-0.125,-0.112,-0.055
0.026,-0.069,-0.043
0.120,0.034,0.007
0.097,0.110,0.074
-0.007,0.123,0.124
-0.095,0.099,0.132
-0.119,0.080,0.100
-0.117,0.064,0.044
-0.151,0.033,-0.013
-0.214,-0.016,-0.060
-0.230,-0.064,-0.087
-0.153,-0.085,-0.086
-0.023,-0.068,-0.054
0.065,-0.023,-0.002
0.056,0.032,0.045
-0.018,0.068,0.072
-0.086,0.057,0.075
-0.107,0.007,0.064
-0.095,-0.039,0.044
-0.081,-0.029,0.016
